pc_time_s,t_ms,Bx_raw,By_raw,Bz_raw,T_raw,Bx_mT,By_mT,Bz_mT,Bmag_mT,run_id,step_index,m1_deg,m2_deg,m3_deg,m4_deg
1777615204,131481,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,131495,31692,37176,65532,17544,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131510,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131524,31692,37180,65532,17544,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,131538,31700,37176,65532,17544,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131553,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131568,31692,37180,65532,17544,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,131582,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131597,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131611,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131625,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,131640,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,131654,31700,37172,65532,17552,-9.7778,40.3198,299.9634,302.819,20260501_160003,0,0,0,0,0
1777615204,131668,31700,37172,65532,17544,-9.7778,40.3198,299.9634,302.819,20260501_160003,0,0,0,0,0
1777615204,131683,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131697,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,131712,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,131726,31692,37176,65532,17544,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131740,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131755,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131769,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,131783,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131798,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131812,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131826,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131842,31688,37176,65532,17544,-9.8877,40.3564,299.9634,302.8274,20260501_160003,0,0,0,0,0
1777615204,131856,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131870,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,131885,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,131899,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,131913,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131928,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,131942,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,131956,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,131971,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,131985,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,131999,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132014,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132028,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132042,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132057,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132071,31692,37168,65532,17552,-9.8511,40.2832,299.9634,302.8165,20260501_160003,0,0,0,0,0
1777615204,132085,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,132100,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132115,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,132129,31684,37180,65532,17544,-9.9243,40.3931,299.9634,302.8335,20260501_160003,0,0,0,0,0
1777615204,132144,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132158,31696,37168,65532,17552,-9.8145,40.2832,299.9634,302.8153,20260501_160003,0,0,0,0,0
1777615204,132172,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132187,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132201,31700,37176,65532,17544,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,132215,31688,37176,65532,17552,-9.8877,40.3564,299.9634,302.8274,20260501_160003,0,0,0,0,0
1777615204,132230,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132244,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132258,31692,37184,65532,17544,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,132273,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,132287,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,132301,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,132316,31696,37172,65532,17544,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,132330,31696,37184,65532,17544,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,132344,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132359,31692,37184,65532,17552,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,132373,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132387,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,132403,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132417,31692,37176,65532,17544,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132431,31696,37184,65532,17544,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,132446,31692,37176,65532,17544,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132460,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,132474,31696,37184,65532,17552,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,132489,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132503,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,132517,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
